Date,Open,High,Low,Close,Adj Close,Volume,Lag0,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15,Lag16,Lag17,Lag18,Lag19,EWMA_,upperband,lowerband,slowk,slowd,macdhist,CCI,Chaikin
2018-01-02,26.549999,26.809998999999998,26.33,26.661949785384095,26.661949785384095,1839700,,,,,,,,,,,,,,,,,,,,,,,,0.691563493640815,,,,
2018-01-03,26.74,26.9,26.65,26.64248461794699,26.64248461794699,1369400,26.661949785384095,,,,,,,,,,,,,,,,,,,,,,,-0.030061528212030453,,,,
2018-01-04,26.76,27.059998999999998,26.639999,26.786742059823304,26.786742059823304,1504700,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,,,,,,,,,0.34938823767453575,,,,
2018-01-05,26.9,26.92,26.65,26.919035199411006,26.919035199411006,1012200,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,,,,,,,,0.996426664485201,,,,
2018-01-08,26.860001,27.950001,26.75,27.267063998036676,27.267063998036676,2538900,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,,,,,,,0.4308863059586414,,,,
2018-01-09,27.379998999999998,28.139999,27.379998999999998,27.567361660122238,27.567361660122238,3808400,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,,,,,,0.246529815950315,,,,
2018-01-10,27.540001,27.91,27.42,27.755028533740784,27.755028533740784,1488000,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,,,,,0.6837317015118033,,,,
2018-01-11,27.870001000000002,28.219998999999998,27.870001000000002,27.822883112469277,27.822883112469277,1348900,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,,,,-0.13462330507810075,,,,
2018-01-12,28.139999,28.299999,27.809998999999998,27.723737708230928,27.723737708230928,1255400,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,,,-0.17604345258993748,,,,-479905.77627119515
2018-01-16,28.08,28.17,27.450001,27.509439027436443,27.509439027436443,1322300,27.723737708230928,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,,0.08255293054079581,,,,-312075.7682518187
2018-01-17,27.700001,27.889999,27.42,27.678146091454813,27.678146091454813,1143100,27.509439027436443,27.723737708230928,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,,0.5492481717084778,,,,145845.47047795926
2018-01-18,27.77,27.799999,27.440001000000002,27.613083638182708,27.613083638182708,958800,27.678146091454813,27.509439027436443,27.723737708230928,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,,0.4807877771062812,,,,271722.1705705073
2018-01-19,27.780001000000002,28.110001,27.74,27.83772679394236,27.83772679394236,1236700,27.613083638182708,27.678146091454813,27.509439027436443,27.723737708230928,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,,0.2641257562610911,,,,130732.01073402684
2018-01-22,27.799999,28.01,27.67,27.703501313141196,27.703501313141196,1102000,27.83772679394236,27.613083638182708,27.678146091454813,27.509439027436443,27.723737708230928,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,,0.09853327394468854,,,,-31187.31473870005
2018-01-23,27.889999,27.950001,27.610001,27.488459710470647,27.488459710470647,1199600,27.703501313141196,27.83772679394236,27.613083638182708,27.678146091454813,27.509439027436443,27.723737708230928,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,,-0.3574743809686882,,,,-456034.23307057563
2018-01-24,27.870001000000002,27.92,27.540001,27.399073701568824,27.399073701568824,1380100,27.488459710470647,27.703501313141196,27.83772679394236,27.613083638182708,27.678146091454813,27.509439027436443,27.723737708230928,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,,-0.37086228761437706,,,,-693880.017448365
2018-01-25,27.629998999999998,27.66,27.34,27.333499338562746,27.333499338562746,755100,27.399073701568824,27.488459710470647,27.703501313141196,27.83772679394236,27.613083638182708,27.678146091454813,27.509439027436443,27.723737708230928,27.822883112469277,27.755028533740784,27.567361660122238,27.267063998036676,26.919035199411006,26.786742059823304,26.64248461794699,26.661949785384095,,,,,,,,-0.02031456699141952,,,,-221504.6247610934
